"clave","pbi_2007","pbi_2019","pob_2007","pob_2019","idh_2007","idh_2019","pbipc_2007","pbipc_2019","ln_rgdpc_2007","ln_rgdpc_2019","d_rgdpc","d_dev"
"AMAZONAS",1778775,3168990,407893,423863,0.281113412249922,0.41773584000102,4.36088631087074,7.47644875820725,-0.883696041069962,-0.646677094213396,0.237018946856566,0.136622427751098
"ANCASH",15672771,20059093,1096137,1169522,0.344943898898756,0.515933850177431,14.2981862668626,17.1515311383625,0.303761334654898,0.183652440313942,-0.120108894340956,0.170989951278675
"APURIMAC",1824181,7170478,435116,429587,0.285985544852091,0.41092584225299,4.19240156647882,16.691561895495,-0.923097624120572,0.156468307491387,1.07956593161196,0.1249402974009
"AREQUIPA",16991831,31404343,1180230,1464638,0.453419623635333,0.642545320366089,14.3970505748879,21.4417098286403,0.310652004333234,0.406903073975275,0.0962510696420411,0.189125696730756
"AYACUCHO",2975676,5931518,645205,664494,0.270148647226003,0.432741194808449,4.61198533799335,8.92636803342092,-0.827712936779347,-0.46942541154274,0.358287525236607,0.162592547582446
"CAJAMARCA",8159499,11479756,1443350,1447891,0.283108828522124,0.425118177467261,5.65316728444244,7.92860512289944,-0.624155390673073,-0.587957887094557,0.0361975035785167,0.142009348945137
"CUSCO",10913725,22006880,1214667,1340457,0.314130449851338,0.512071661355618,8.98495225440388,16.4174456920289,-0.160820153783029,0.139909522628006,0.300729676411035,0.197941211504281
"HUANCAVELICA",2475279,3527812,463275,371260,0.214728207455334,0.383825337568502,5.34300145701797,9.50226795237839,-0.680583794409455,-0.406904506573777,0.273679287835679,0.169097130113169
"HUANUCO",3200861,6081484,785488,759851,0.27203146078062,0.45365158611267,4.0749966899558,8.00352174307858,-0.951501425669949,-0.578553345820475,0.372948079849474,0.18162012533205
"ICA",8793956,17656354,732317,950100,0.420487426717895,0.599986345114449,12.0084007335621,18.5836796126724,0.129235105908027,0.26384874684662,0.134613640938593,0.179498918396554
"JUNIN",9240435,15330366,1275898,1350021,0.339881366651475,0.510749409804805,7.24229914930504,11.3556500232219,-0.376432642037486,-0.228719589048468,0.147713052989018,0.17086804315333
"LA LIBERTAD",14615612,22637274,1660271,1979901,0.390608140791458,0.548224440009111,8.80314840167659,11.4335383435838,-0.181261929665173,-0.221884012248939,-0.0406220825837657,0.157616299217653
"LAMBAYEQUE",6880023,12113549,1140361,1292105,0.35833976799093,0.534251994634913,6.03319738223247,9.37505001528513,-0.559094244063503,-0.420383101711676,0.138711142351828,0.175912226643983
"LIMA",136238703,240498497,8552942,10416139,0.4901105429302,0.707336107289594,15.9288702062986,23.0890253096661,0.411761838933385,0.480922401297129,0.0691605623637443,0.217225564359395
"LORETO",6910964,9336037,916737,1015212,0.324294734936508,0.483376950316121,7.53865503410466,9.19614523862996,-0.336327571412643,-0.439650608067031,-0.103323036654388,0.159082215379613
"MADRE DE DIOS",1864543,2124983,113704,167674,0.408334592609112,0.613593303241319,16.3982181805389,12.6733005713468,0.44080132131781,-0.118937545240872,-0.559738866558682,0.205258710632207
"MOQUEGUA",7525100,8416846,164788,189781,0.431246143930235,0.658913371417049,45.6653397092021,44.3503090404203,1.46496821919345,1.13368466843056,-0.331283550762892,0.227667227486814
"PASCO",5486459,5443881,285447,272157,0.318003271885358,0.478467834243813,19.2205873594748,20.0027226931514,0.599610602799726,0.337433390428411,-0.262177212371315,0.160464562358455
"PIURA",12651720,20626256,1723309,2013517,0.35153404095765,0.513005534963378,7.34152725947581,10.2438946380885,-0.362824465601456,-0.331753125464785,0.0310713401366712,0.161471494005728
"PUNO",5888474,9803780,1299393,1239022,0.293405488214029,0.465586459636037,4.53171134522042,7.91251487059955,-0.845271711525907,-0.589989341668468,0.255282369857438,0.172180971422008
"SAN MARTIN",3266254,6081464,750912,884283,0.315655395960886,0.483200263495498,4.34971607858178,6.87728249892851,-0.886260786402745,-0.730211420220638,0.156049366182106,0.167544867534612
"TACNA",5143137,8737472,294980,363205,0.442055885595941,0.590028467921762,17.4355447826971,24.0565851241035,0.502139566056052,0.521973760289091,0.0198341942330392,0.14797258232582
"TUMBES",1637185,2919599,204740,246699,0.406477226984236,0.555171957916394,7.99641008107844,11.8346608620221,-0.277378658980882,-0.187402421473734,0.0899762375071483,0.148694730932158
"UCAYALI",3054659,4625127,445811,574509,0.362323668195849,0.483524010358863,6.85191482489216,8.0505736202566,-0.43184321038996,-0.572691662451134,-0.140848452061174,0.121200342163014
